Entity,Scenario,EntityScenario,Year,pcgdpgrowth
Lower-middle income,Kuznets 2010,Lower-middle income Kuznets Kuznets 2010,2019,4.294006897754499
Lower-middle income,Kuznets 2010,Lower-middle income Kuznets Kuznets 2010,2020,4.273728171640112
Upper-middle income,Kuznets 2010,Upper-middle income Kuznets Kuznets 2010,2010,NA
Upper-middle income,Kuznets 2010,Upper-middle income Kuznets Kuznets 2010,2011,3.9393470233825223
Upper-middle income,Kuznets 2010,Upper-middle income Kuznets Kuznets 2010,2012,3.8893007370474297
Upper-middle income,Kuznets 2010,Upper-middle income Kuznets Kuznets 2010,2013,3.8369453568352085
Upper-middle income,Kuznets 2010,Upper-middle income Kuznets Kuznets 2010,2014,3.783334314254505
Upper-middle income,Kuznets 2010,Upper-middle income Kuznets Kuznets 2010,2015,3.729598440334758
Upper-middle income,Kuznets 2010,Upper-middle income Kuznets Kuznets 2010,2016,3.6781170123343365
Upper-middle income,Kuznets 2010,Upper-middle income Kuznets Kuznets 2010,2017,3.626557681671949
Upper-middle income,Kuznets 2010,Upper-middle income Kuznets Kuznets 2010,2018,3.574670477663755
Upper-middle income,Kuznets 2010,Upper-middle income Kuznets Kuznets 2010,2019,3.5216089339717094
Upper-middle income,Kuznets 2010,Upper-middle income Kuznets Kuznets 2010,2020,3.4673299372756095
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1980,NA
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1981,2.893891993926534
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1982,2.8565156511999756
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1983,2.819540974205026
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1984,2.7830776850068517
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1985,2.747399877796175
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1986,2.7122816255497284
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1987,2.6775031913477854
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1988,2.643124901386207
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1989,2.610188229271193
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1990,2.5787610529491634
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1991,2.5479852082062937
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1992,2.517587150888545
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1993,2.487623977027509
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1994,2.4580455011607327
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1995,2.4288791988411162
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1996,2.4001612849576137
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1997,2.3717909942800652
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1998,2.343723638270312
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,1999,2.3162201277096894
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2000,2.2894734662392224
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2001,2.263176078423612
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2002,2.237164410214465
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2003,2.211618654421965
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2004,2.185703383237936
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2005,2.1604837689102485
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2006,2.1365512345977056
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2007,2.1135773758411247
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2008,2.0913365834751563
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2009,2.0696494259993425
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2010,2.0482522510586687
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2011,2.026525922082456
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2012,2.004740056463117
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2013,1.9833339446439169
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2014,1.9622998355488974
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2015,1.9416300969592015
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2016,1.9213172195042372
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2017,1.9013538199072144
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2018,1.8817326435534465
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2019,1.8624465664554002
High income,Kuznets_Asymptoting 1980,High income Kuznets Kuznets_Asymptoting 1980,2020,1.8434885966769343
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1980,NA
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1981,3.377843572766373
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1982,3.4283012217273825
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1983,3.481942451507053
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1984,3.539464394415365
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1985,3.6001353334471102
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1986,3.6647063208185005
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1987,3.7316525504853146
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1988,3.800394635602361
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1989,3.870088463764365
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1990,3.9417933656939463
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1991,4.013478024067274
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1992,4.083392880381364
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1993,4.151114189286337
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1994,4.216232095691463
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1995,4.278356098751934
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1996,4.337120327816979
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1997,4.392188458147062
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1998,4.443258106789349
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,1999,4.490064569613461
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2000,4.5323837878667455
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2001,4.570034465116657
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2002,4.6028792909010185
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2003,4.6308252635849145
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2004,4.653823139707491
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2005,4.671866068355213
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2006,4.684987495404425
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2007,4.693258442647696
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2008,4.696784280320299
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2009,4.695701118336482
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2010,4.690171942084609
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2011,4.680382613580014
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2012,4.666537849310082
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2013,4.648857273227969
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2014,4.627571628315619
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2015,4.602919214023227
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2016,4.575142600649595
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2017,4.544485656159258
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2018,4.511190906650242
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2019,4.475497239075765
Low income,Kuznets_Asymptoting 1980,Low income Kuznets Kuznets_Asymptoting 1980,2020,4.437637944131323
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1980,NA
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1981,4.241894688140945
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1982,4.299741990824845
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1983,4.355073382195451
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1984,4.406655713737429
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1985,4.45403138558218
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1986,4.49739406816827
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1987,4.536143048176388
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1988,4.569740168610659
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1989,4.598799465604831
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1990,4.623250889323671
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1991,4.643428788692628
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1992,4.658638148096617
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1993,4.669366157976307
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1994,4.675373223203816
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1995,4.6761825734932705
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1996,4.67281615845383
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1997,4.665132113574599
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1998,4.653048170283602
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,1999,4.637043149569031
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2000,4.617602204549409
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2001,4.5953291124099405
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2002,4.570509657834765
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2003,4.543056301351389
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2004,4.5134303671729326
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2005,4.481704278296816
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2006,4.448012537511148
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2007,4.412826051023266
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2008,4.373203289356131
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2009,4.330798353766974
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2010,4.287014961059921
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2011,4.242021398825124
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2012,4.196000051214122
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2013,4.1491199690523395
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2014,4.101538892842349
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2015,4.053403345385176
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2016,4.004848839185859
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2017,3.956000176632868
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2018,3.9069718231599104
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2019,3.857868335858594
Lower-middle income,Kuznets_Asymptoting 1980,Lower-middle income Kuznets Kuznets_Asymptoting 1980,2020,3.808784832220047
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1980,NA
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1981,4.641970138033025
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1982,4.623517998304516
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1983,4.601925623985337
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1984,4.577833070306214
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1985,4.5511671329016234
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1986,4.522155924723892
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1987,4.491001057074051
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1988,4.45790789848961
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1989,4.423057341319314
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1990,4.384964193450891
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1991,4.343190438903077
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1992,4.299707454399737
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1993,4.255130560083709
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1994,4.2092860449032266
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1995,4.162212620565686
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1996,4.114220825842452
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1997,4.065567322420582
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1998,4.016318229761939
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,1999,3.966453341390652
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2000,3.9159382883089844
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2001,3.865200645204059
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2002,3.8147270139746947
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2003,3.7631091126973715
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2004,3.7093631608127176
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2005,3.65480038573458
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2006,3.6005288419011183
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2007,3.5472677060177205
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2008,3.4966614789794015
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2009,3.4495587950707396
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2010,3.403721411826721
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2011,3.3593492867614927
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2012,3.3154723558541654
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2013,3.2720970503585356
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2014,3.2292479329500523
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2015,3.1869459081612206
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2016,3.1452085415724085
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2017,3.1040503583505963
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2018,3.063483121587085
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2019,3.023516091042433
Upper-middle income,Kuznets_Asymptoting 1980,Upper-middle income Kuznets Kuznets_Asymptoting 1980,2020,2.9841562630767537
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,1990,NA
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,1991,2.08731099739774
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,1992,2.0658331279403086
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,1993,2.0449535315569367
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,1994,2.0243439566348886
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,1995,2.0039591523051126
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,1996,1.9838468840478019
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,1997,1.9639673696862925
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,1998,1.9443166839014925
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,1999,1.9249246292764255
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2000,1.905802231222209
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2001,1.8868845669910428
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2002,1.868129508278038
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2003,1.8495774813197752
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2004,1.8314631526632486
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2005,1.8138004618718284
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2006,1.7964149410054642
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2007,1.7791778039833783
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2008,1.7621566386752718
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2009,1.7454063791936925
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2010,1.728231552513737
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2011,1.711359103683474
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2012,1.695330522125671
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2013,1.6799683423013523
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2014,1.6651457158086025
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2015,1.65071722314023
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2016,1.6367812702240858
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2017,1.6228180609963783
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2018,1.6091906205623285
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2019,1.5950858311103655
High income,Kuznets_Asymptoting 1990,High income Kuznets Kuznets_Asymptoting 1990,2020,1.58092599559998
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,1990,NA
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,1991,2.7008229099803494
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,1992,2.7700127214306174
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,1993,2.8381594062480198
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,1994,2.9037339756335476
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,1995,2.9676319155486954
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,1996,3.031494550730359
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,1997,3.0947853458352546
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,1998,3.158336285826324
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,1999,3.222732318373342
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2000,3.287420251927256
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2001,3.3531882855629744
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2002,3.4190568691528145
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2003,3.484529053612684
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2004,3.5490703218687027
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2005,3.61249161318119
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2006,3.675813814409268
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2007,3.7364300539395376
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2008,3.793740206102819
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2009,3.8475363389591175
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2010,3.897635306364411
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2011,3.9438806790392578
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2012,3.9861441801833375
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2013,4.024326602339611
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2014,4.0583581996689215
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2015,4.088198566761192
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2016,4.113836030687712
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2017,4.135286596643361
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2018,4.152592498498109
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2019,4.165820413774945
Low income,Kuznets_Asymptoting 1990,Low income Kuznets Kuznets_Asymptoting 1990,2020,4.175059407693449
Lower-middle income,Kuznets_Asymptoting 1990,Lower-middle income Kuznets Kuznets_Asymptoting 1990,1990,NA
Lower-middle income,Kuznets_Asymptoting 1990,Lower-middle income Kuznets Kuznets_Asymptoting 1990,1991,4.077581077872683
Lower-middle income,Kuznets_Asymptoting 1990,Lower-middle income Kuznets Kuznets_Asymptoting 1990,1992,4.101302888429792
Lower-middle income,Kuznets_Asymptoting 1990,Lower-middle income Kuznets Kuznets_Asymptoting 1990,1993,4.120692679879978
Lower-middle income,Kuznets_Asymptoting 1990,Lower-middle income Kuznets Kuznets_Asymptoting 1990,1994,4.135677467078869
